# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
1241088 303 -0.00167727314223088
1241600 303.125 -0.0016768665291559
1242112 303.25 -0.00167647102376496
1242624 303.375 -0.00167610695477282
1243136 303.5 -0.00167577167718537
1243648 303.625 -0.00167543780146648
1244160 303.75 -0.00167507683266847
1244672 303.875 -0.00167468824840711
1245184 304 -0.00167430319126764
1245696 304.125 -0.00167395602489459
1246208 304.25 -0.00167365150197179
1246720 304.375 -0.00167336049326273
1247232 304.5 -0.00167304701908949
1247744 304.625 -0.00167269819058289
1248256 304.75 -0.00167233019507076
1248768 304.875 -0.00167197102080273
1249280 305 -0.00167164026759921
1249792 305.125 -0.00167134063410103
1250304 305.25 -0.00167105977971983
1250816 305.375 -0.00167077683017824
1251328 305.5 -0.00167047307246362
1251840 305.625 -0.00167014513431738
1252352 305.75 -0.00166981033850264
1252864 305.875 -0.00166949459198952
1253376 306 -0.0016692096691215
1253888 306.125 -0.00166894118742685
1254400 306.25 -0.00166866108040266
1254912 306.375 -0.00166835410558829
1255424 306.5 -0.0016680328139908
1255936 306.625 -0.00166772610994565
1256448 306.75 -0.00166745225416073
1256960 306.875 -0.00166720193784723
1257472 307 -0.00166694670353918
1257984 307.125 -0.0016666636573479
1258496 307.25 -0.00166635366524588
1259008 307.375 -0.00166603883718515
1259520 307.5 -0.001665744550503
1260032 307.625 -0.00166548190468615
1260544 307.75 -0.00166524207188739
1261056 307.875 -0.00166500355886086
1261568 308 -0.00166474619150959
1262080 308.125 -0.0016644634506683
1262592 308.25 -0.0016641661090321
1263104 308.375 -0.00166387494988922
1263616 308.5 -0.00166360709102722
1264128 308.625 -0.00166336500577306
1264640 308.75 -0.0016631356717158
1265152 308.875 -0.00166290036275855
1265664 309 -0.00166264792296235
1266176 309.125 -0.00166238178061062
1266688 309.25 -0.00166211618119601
1267200 309.375 -0.00166186545327732
1267712 309.5 -0.00166163409531402
1268224 309.625 -0.00166141353092482
1268736 309.75 -0.00166118780196773
1269248 309.875 -0.00166094638118816
1269760 310 -0.00166069563727772
1270272 310.125 -0.001660456641546
1270784 310.25 -0.00166024649157948
1271296 310.375 -0.00166005902468133
1271808 310.5 -0.00165986640915219
1272320 310.625 -0.00165964360711484
1272832 310.75 -0.00165939279047369
1273344 310.875 -0.00165914359427953
1273856 311 -0.00165892884949336
1274368 311.125 -0.00165875756724208
1274880 311.25 -0.00165860725848935
1275392 311.375 -0.00165844079818203
1275904 311.5 -0.00165823478091669
1276416 311.625 -0.00165799779569996
1276928 311.75 -0.00165776375198294
1277440 311.875 -0.001657565160818
1277952 312 -0.00165740874082765
1278464 312.125 -0.00165727311952861
1278976 312.25 -0.00165712763876093
1279488 312.375 -0.00165695427704526
1280000 312.5 -0.0016567569017557
1280512 312.625 -0.00165655560788172
1281024 312.75 -0.00165637296895954
1281536 312.875 -0.00165622022405766
1282048 313 -0.00165609038982199
1282560 313.125 -0.00165596288816878
1283072 313.25 -0.00165581770144029
1283584 313.375 -0.00165564955826667
1284096 313.5 -0.00165547174537256
1284608 313.625 -0.00165530653231391
1285120 313.75 -0.00165516889058726
1285632 313.875 -0.00165505521294382
1286144 314 -0.00165494561351524
1286656 314.125 -0.00165481843349436
1287168 314.25 -0.00165466586979917
1287680 314.375 -0.00165449894186794
1288192 314.5 -0.00165433910012256
1288704 314.625 -0.00165420349776131
1289216 314.75 -0.0016540934523113
